sample_size_1 15
sample_size_2 0
relative_seedbank_size 1.0
transition_rate 0.5
theta 1.0
active dormant | c_rate m_rate_1 m_rate_2 total_rate | sim_time coin
15 0 | 105.0 7.5 0.0 112.5 | 0.0051017443589531026 0.853623473346961
14 0 | 91.0 7.0 0.0 98.0 | 0.014249663308449095 0.09168320167095723
13 0 | 78.0 6.5 0.0 84.5 | 0.014975440248965972 0.563311639806495
12 0 | 66.0 6.0 0.0 72.0 | 0.016389345394687813 0.5375904262603998
11 0 | 55.0 5.5 0.0 60.5 | 0.016507750587181572 0.9385983313105439
10 1 | 45.0 5.0 0.5 50.5 | 0.03705845289075631 0.249673222630858
9 1 | 36.0 4.5 0.5 41.0 | 0.03892537090656778 0.9510123001877782
8 2 | 28.0 4.0 1.0 33.0 | 0.06494688007169802 0.4707218205947087
7 2 | 21.0 3.5 1.0 25.5 | 0.12202240859146582 0.9659974111758193
8 1 | 28.0 4.0 0.5 32.5 | 0.1549193120370308 0.9255866254939384
7 2 | 21.0 3.5 1.0 25.5 | 0.2171574549770406 0.6628663813084633
6 2 | 15.0 3.0 1.0 19.0 | 0.22633162657189282 0.10312827958606041
5 2 | 10.0 2.5 1.0 13.5 | 0.2428079889566634 0.19830792271970465
4 2 | 6.0 2.0 1.0 9.0 | 0.5581836164789953 0.13144654887260598
3 2 | 3.0 1.5 1.0 5.5 | 0.6936621164063075 0.29452391636490405
2 2 | 1.0 1.0 1.0 3.0 | 1.1605596502424957 0.3644102492112774
1 3 | 0.0 0.5 1.5 2.0 | 1.421020719288299 0.789993286215905
2 2 | 1.0 1.0 1.0 3.0 | 1.6818220411921854 0.24834301188837526
1 2 | 0.0 0.5 1.0 1.5 | 1.7063380791998142 0.5570704716153397
2 1 | 1.0 1.0 0.5 2.5 | 2.2255811117080952 0.26274076215475206
1 1 | 0.0 0.5 0.5 1.0 | 4.428399843518858 0.06785099143663409
0 2 | 0.0 0.0 1.0 1.0 | 4.654186984196338 0.21516046519381415
1 1 | 0.0 0.5 0.5 1.0 | 5.290144834859358 0.5754596069887097
2 0 | 1.0 1.0 0.0 2.0 | 5.91873526626744 0.6577864046789729
1 1 | 0.0 0.5 0.5 1.0 | 5.944510562255506 0.8217523148294651
2 0 | 1.0 1.0 0.0 2.0 | 5.959080708533246 0.9030088709718459
1 1 | 0.0 0.5 0.5 1.0 | 7.88704041756634 0.5800782185177151
2 0 | 1.0 1.0 0.0 2.0 | 7.91318857901904 0.42528917533445676
